Date,Time,System Utilization,Eligible/Idle Jobs,Active Jobs
2021/03/12,20:04,99.926,63/120,45
2021/03/12,20:14,99.926,66/126,45
2021/03/12,20:24,99.926,64/124,46
2021/03/12,20:34,99.926,64/122,46
2021/03/12,20:44,99.926,64/122,46
2021/03/12,20:54,99.926,64/122,46
2021/03/12,21:04,99.926,64/122,46
2021/03/12,21:14,99.926,64/122,46
2021/03/12,21:24,99.926,64/125,46
2021/03/12,21:34,99.926,64/123,46
2021/03/12,21:44,99.852,63/123,44
2021/03/12,21:54,99.778,62/121,43
2021/03/12,22:04,99.852,61/119,43
2021/03/12,22:14,99.852,63/122,43
2021/03/12,22:24,99.778,62/121,43
2021/03/12,22:34,99.557,60/118,43
2021/03/12,22:44,99.039,59/114,43
2021/03/12,22:54,99.039,59/113,43
2021/03/12,23:04,99.039,60/114,43
2021/03/12,23:14,98.670,59/113,43
2021/03/12,23:24,98.670,60/114,43
2021/03/12,23:34,98.670,60/114,43
2021/03/12,23:44,99.261,60/115,43
2021/03/12,23:54,94.235,60/114,41
2021/03/13,00:04,94.235,59/114,41
2021/03/13,00:14,91.353,61/118,40
2021/03/13,00:24,90.983,61/117,39
2021/03/13,00:34,90.983,61/117,39
2021/03/13,00:44,87.657,61/118,38
2021/03/13,00:54,87.657,61/118,38
2021/03/13,01:04,86.475,61/118,37
2021/03/13,01:14,85.661,60/117,37
2021/03/13,01:24,84.922,61/118,36
2021/03/13,01:34,84.996,60/121,35
2021/03/13,01:44,100.000,60/121,35
2021/03/13,01:54,100.000,60/120,35
2021/03/13,02:04,100.000,60/120,35
2021/03/13,02:14,100.000,60/120,35
2021/03/13,02:24,100.000,60/120,35
2021/03/13,02:34,99.557,60/120,34
2021/03/13,02:44,99.557,59/119,34
2021/03/13,02:54,99.557,59/117,34
2021/03/13,03:04,99.557,59/117,34
2021/03/13,03:14,100.000,57/115,34
2021/03/13,03:24,100.000,57/113,34
2021/03/13,03:34,100.000,57/113,34
2021/03/13,03:44,100.000,56/112,34
2021/03/13,03:54,99.926,56/111,33
2021/03/13,04:04,99.926,56/111,33
2021/03/13,04:14,99.926,56/111,33
2021/03/13,04:24,99.926,56/111,33
2021/03/13,04:34,99.926,56/111,33
2021/03/13,04:44,99.926,56/111,33
2021/03/13,04:54,99.852,56/111,32
2021/03/13,05:04,100.000,55/110,32
2021/03/13,05:14,100.000,55/109,32
2021/03/13,05:24,100.000,55/109,32
2021/03/13,05:34,100.000,55/109,32
2021/03/13,05:44,100.000,55/109,32
2021/03/13,05:54,100.000,53/107,33
2021/03/13,06:04,100.000,52/104,33
2021/03/13,06:14,100.000,52/103,33
2021/03/13,06:24,100.000,52/103,33
2021/03/13,06:34,100.000,23/75,62
2021/03/13,06:44,99.039,11/26,70
2021/03/13,06:54,99.039,10/15,70
2021/03/13,07:04,98.817,10/15,69
2021/03/13,07:14,98.817,10/15,69
2021/03/13,07:24,98.817,10/15,69
2021/03/13,07:34,98.817,10/15,69
2021/03/13,07:44,98.817,10/15,69
2021/03/13,07:54,96.748,10/15,67
2021/03/13,08:04,96.748,10/15,67
2021/03/13,08:14,99.483,9/14,67
2021/03/13,08:24,99.483,9/13,67
2021/03/13,08:34,99.483,9/13,67
2021/03/13,08:44,99.483,10/15,67
2021/03/13,08:54,99.926,11/18,68
2021/03/13,09:04,99.926,14/23,68
2021/03/13,09:14,99.926,14/23,68
2021/03/13,09:24,100.000,13/22,68
2021/03/13,09:34,100.000,15/25,68
2021/03/13,09:44,100.000,16/27,68
2021/03/13,09:54,99.926,16/29,69
2021/03/13,10:04,99.926,20/35,69
2021/03/13,10:14,99.704,20/35,68
2021/03/13,10:24,99.630,22/39,67
2021/03/13,10:34,99.926,24/44,68
